name,openset
samplenew3_00000058,"[concern, pessimism]"
samplenew3_00000084,"[concern, advice, care, dissatisfaction, worry]"
samplenew3_00000139,"[anxious, dissatisfied, confused, worried, melancholic, frustrated, angry, loss of control]"
samplenew3_00000151,"[helplessness, powerlessness, sadness, frustration, anxiety]"
samplenew3_00000195,"[anger, determination]"
samplenew3_00000220,"[excited, love]"
samplenew3_00000261,"[anger, frustration, disappointment]"
samplenew3_00000294,"[positive, praising, nostalgic, excited, happy]"
samplenew3_00000340,"[excitement, admiration, surprise]"
samplenew3_00000347,"[tense, anxious]"
samplenew3_00000360,"[guilt, remorse, negative, unhappy]"
samplenew3_00000367,"[anger, frustration, threat, doubt, mockery]"
samplenew3_00000378,"[anger, frustration, despair, helplessness, distress, anxiety, nervousness]"
samplenew3_00000398,"[anticipation, longing, frustration, concern]"
samplenew3_00000425,"[helplessness, powerlessness, frustration, annoyance]"
samplenew3_00000432,"[excited, enthusiastic]"
samplenew3_00000447,"[excited, anxious, positive]"
samplenew3_00000454,"[angry, determined, indifferent, impatience]"
samplenew3_00000455,"[tension, unease, nervous, uncertain]"
samplenew3_00000467,"[unhappy, anger, dissatisfaction]"
samplenew3_00000482,"[positive, confident, motivated]"
samplenew3_00000493,"[positive, optimistic]"
samplenew3_00000495,"[anxious, nervous, curious, anticipating, sad, contemplating, reflecting, hiding emotions, maintaining composure, confident]"
samplenew3_00000496,"[sadness, helplessness, despair, self-doubt]"
samplenew3_00000500,"[appreciation, admiration]"
samplenew3_00000501,"[despair, urgency, sadness, anger, indifference, detachment]"
samplenew3_00000504,"[grateful, determined, supportive, positive]"
samplenew3_00000511,"[boredom, indifference, sadness, lack of interest]"
samplenew3_00000513,"[sadness, despair, distress]"
samplenew3_00000535,[]
samplenew3_00000548,"[anger, sadness, anxiety]"
samplenew3_00000579,"[anger, frustration, resentment]"
samplenew3_00000588,"[positive emotions: nostalgia, happiness, excitement, anxiety, positive evaluation, mystery appreciation; negative emotions: confusion, uncertainty]"
samplenew3_00000593,"[serious, warning, cautious]"
samplenew3_00000602,"[determination, confidence, excitement, anticipation, positivity]"
samplenew3_00000605,"[guilt, criticism, dissatisfaction, frustration]"
samplenew3_00000665,"[happy, satisfied, joyful]"
samplenew3_00000668,"[anger, sadness]"
samplenew3_00000682,"[anger, tension]"
samplenew3_00000723,"[praise, admiration, positive, confident]"
samplenew3_00000725,"[pride, confidence]"
samplenew3_00000744,"[appreciative, trusting]"
samplenew3_00000765,"[concern, worry]"
samplenew3_00000803,"[concern, warning]"
samplenew3_00000814,"[anger, dissatisfaction]"
samplenew3_00000821,"[pride, confidence, positive]"
samplenew3_00000827,"[gratitude, praise, fear, anxiety, sadness]"
samplenew3_00000829,"[anger, disappointment, fear, anxiety]"
samplenew3_00000839,"[serious, tense]"
samplenew3_00000891,"[optimistic, hopeful, encouraged, reminder, self-comfort, contemplative, focused, dealing with difficulties, setbacks, facing challenges, sad, with a hint of muffled emotion]"
samplenew3_00000895,"[confused, surprised, questioned, challenged, dissatisfied, uncertain]"
samplenew3_00000899,"[light-hearted, humorous, supportive, loving, sad, grief]"
samplenew3_00000908,"[anger, frustration, determination]"
samplenew3_00000915,"[surprised, incredulous, confused, bewildered]"
samplenew3_00000925,"[affirmation, recognition, engagement, focus]"
samplenew3_00000947,"[concerned, anxious, panicked]"
samplenew3_00000981,"[dissatisfaction, jealousy]"
samplenew3_00001009,"[humorous, self-deprecating, positive]"
samplenew3_00001010,"[anxiety, sadness, determination]"
samplenew3_00001044,"[impatience, annoyance, frustration]"
samplenew3_00001067,"[worry, anxiety]"
samplenew3_00001091,"[guilt, remorse, apology, pain]"
samplenew3_00001105,"[worry, concern, support, distress]"
samplenew3_00001134,"[anxious, nervous, concerned]"
samplenew3_00001177,"[guilt, anxiety, stress, remorse, reflection]"
samplenew3_00001197,"[positive, praising, recognition, appreciation]"
samplenew3_00001200,[]
samplenew3_00001218,"[sadness, despair, confusion]"
samplenew3_00001225,"[fear, helplessness]"
samplenew3_00001230,"[anger, threat]"
samplenew3_00001240,"[joy, excitement, confidence, pride, satisfied, comfortable, calm]"
samplenew3_00001247,"[anger, tension]"
samplenew3_00001251,"[anger, dissatisfaction]"
samplenew3_00001262,"[sarcastic, dissatisfied, distrustful, negative]"
samplenew3_00001264,"[nervous, determination, pressure]"
samplenew3_00001273,"[disappointment, confusion, frustration, helplessness]"
samplenew3_00001289,"[tense, fearful, anxious, under pressure]"
samplenew3_00001333,"[tense, anxious, urgent]"
samplenew3_00001336,"[challenge, mockery, playful, joking, focus, contemplation]"
samplenew3_00001337,"[awe, respect, contemplation, recognition, appreciation]"
samplenew3_00001380,"[sadness, anger, helplessness, despair, dissatisfaction, complaint, sarcasm, irony]"
samplenew3_00001396,[]
samplenew3_00001401,"[overwhelmed, under great pressure]"
samplenew3_00001408,"[positive, casual, indifferent]"
samplenew3_00001421,"[worry, pressure, unease, fear, anxiety]"
samplenew3_00001430,[]
samplenew3_00001443,"[pleading, desperation, sadness]"
samplenew3_00001460,"[concern, worry, urgency, despair]"
samplenew3_00001465,"[fearful, anxious]"
samplenew3_00001488,"[confident, determined]"
samplenew3_00001504,"[positive, happy/satisfied, anxious, impatient, frustrated]"
samplenew3_00001508,[]
samplenew3_00001515,[]
samplenew3_00001518,"[optimistic, hopeful, positive, enthusiastic]"
samplenew3_00001519,"[frustration, disappointment]"
samplenew3_00001522,"[contemplative, sad, demanding too much, excessive expectations]"
samplenew3_00001538,"[satisfaction, gratitude, self-deprecation, humility]"
samplenew3_00001544,"[positive, stable, determined]"
samplenew3_00001564,"[teasing, sarcastic, amused, friendly]"
samplenew3_00001570,"[surprised, incredulous, admiration]"
samplenew3_00001586,"[despair, pressure, challenges, negative response]"
samplenew3_00001587,"[urgent, anxious, upset, concerned]"
samplenew3_00001602,"[angry, dissatisfied, frustrated, impatient]"
samplenew3_00001619,"[happy, relaxed, satisfied, frustrated, disappointed, sarcastic, humorous]"
samplenew3_00001626,"[anxiety, stress, overwhelmed]"
samplenew3_00001629,"[positive, optimistic]"
samplenew3_00001633,"[anger, frustration, anxiety, stress]"
samplenew3_00001638,"[longing, hope, sadness]"
samplenew3_00001664,"[dissatisfaction, pressure, tension]"
samplenew3_00001674,"[nostalgic, sad, proud]"
samplenew3_00001692,"[relieved, shifting emotions, emotional relief]"
samplenew3_00001724,"[peaceful, tranquil, nostalgic, reminiscence, selfless, caring]"
samplenew3_00001730,"[sadness, disappointment, negativity, lament, sense of loss]"
samplenew3_00001755,"[satisfied, reassured, tranquil, calm]"
samplenew3_00001770,"[angry, sad]"
samplenew3_00001796,"[anger, fear, sadness]"
samplenew3_00001821,"[appreciative, satisfied, excited, anticipatory]"
samplenew3_00001849,"[urgent, nervous, busy]"
samplenew3_00001853,"[determined, committed, positive, confident, fair, transparent]"
samplenew3_00001883,"[hostile, mocking, anxiety, stress, symptoms of psychosis, delusion]"
samplenew3_00001889,"[negative, sad]"
samplenew3_00001896,"[angry, dissatisfied, disappointed, tense, anxious]"
samplenew3_00001906,"[worried, concerned, doubtful, anxious]"
samplenew3_00001934,"[surprise, anxiety, unease]"
samplenew3_00001949,[]
samplenew3_00001964,"[guilt, anxiety]"
samplenew3_00001967,"[anger, dissatisfaction]"
samplenew3_00001975,"[tense, anxious, fear]"
samplenew3_00001998,"[dissatisfaction, disappointment, ignored, misunderstood, emotional distress, frustration]"
samplenew3_00002016,"[dissatisfaction, challenge, negative]"
samplenew3_00002021,[positive]
samplenew3_00002036,"[anger, frustration, annoyance]"
samplenew3_00002057,"[worry, concern]"
samplenew3_00002063,"[tension, anxiety, pressure]"
samplenew3_00002066,"[sarcastic, humorous, relief]"
samplenew3_00002083,"[anxiety, worry, unease, helplessness]"
samplenew3_00002106,"[anger, dissatisfaction]"
samplenew3_00002114,"[anxious, nervous, uncertain]"
samplenew3_00002123,"[distress, sadness, overwhelming emotions]"
samplenew3_00002126,"[concern, warning, dissatisfaction]"
samplenew3_00002135,"[dissatisfaction, frustration, anger, sadness]"
samplenew3_00002138,"[humorous, comical, playful, joyful]"
samplenew3_00002158,"[worry, unease]"
samplenew3_00002181,"[light, happy, appreciation, joy]"
samplenew3_00002206,"[calm, composed]"
samplenew3_00002224,"[satisfied, proud]"
samplenew3_00002232,"[relaxed, comfortable, straightforward, honest]"
samplenew3_00002245,"[nervous, anxious, dissatisfaction, disappointment]"
samplenew3_00002248,"[tense, urgent, emergency, danger]"
samplenew3_00002264,"[concern, tension]"
samplenew3_00002273,"[confused, uncertain]"
samplenew3_00002288,"[nervous, concerned, protective]"
samplenew3_00002308,"[fear, anxiety, stress, anger]"
samplenew3_00002356,"[nervousness, fear, anxiety]"
samplenew3_00002369,"[dissatisfaction, concern, anxiety]"
samplenew3_00002389,"[anger, frustration, dissatisfaction, anxiety]"
samplenew3_00002392,"[anxiety, stress, feeling of being overwhelmed]"
samplenew3_00002435,"[worried, uncertain, anxious]"
samplenew3_00002448,"[serious, tense]"
samplenew3_00002477,"[dissatisfaction, questioning]"
samplenew3_00002493,"[disappointment, frustration]"
samplenew3_00002500,"[excited, anxious, friendly, harmonious, positive]"
samplenew3_00002501,"[pride, confidence]"
samplenew3_00002599,"[accusatory, mocking, negative]"
samplenew3_00002606,"[serious, isolated, possibly anxious or depressed]"
samplenew3_00002613,"[anxious, stressed, relaxed, satisfied]"
samplenew3_00002643,"[anxious, uneasy, confusion, challenges]"
samplenew3_00002652,"[sadness, helplessness, dissatisfaction, disappointment, nervousness, anxiety]"
samplenew3_00002669,"[frustrated, bored, indifferent]"
samplenew3_00002696,"[excited, anticipation]"
